filename,format,tool,n_components,source_path
8a8637c3430712e1efe421fe70b1b84c267b2d6d,CycloneDX-JSON,cdxgen,22,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\8a8637c3430712e1efe421fe70b1b84c267b2d6d
6583206230ffa4d3479d749c53d4c852bb43142d,CycloneDX-JSON,cyclonedx-php-composer,128,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\6583206230ffa4d3479d749c53d4c852bb43142d
916af739367f51b5f8688819d1f646cc095e076a,CycloneDX-JSON,cdxgen,44,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\9\916af739367f51b5f8688819d1f646cc095e076a
dc68aba566e7819962ad1df9494c1e980025d555,CycloneDX-JSON,cyclonedx-gomod,60,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\dc68aba566e7819962ad1df9494c1e980025d555
f9ffed2250d491a6d21ca528f68262ea2e47a892,CycloneDX-JSON,Node.js module,21,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\f9ffed2250d491a6d21ca528f68262ea2e47a892
2a1ab8c590280333e3c494f7faaf375604081e34,CycloneDX-JSON,cyclonedx-gomod,140,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\2a1ab8c590280333e3c494f7faaf375604081e34
c33ec4bca74aa1a407d82e1348c98a0a09ab59df,CycloneDX-JSON,cdxgen,23,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c33ec4bca74aa1a407d82e1348c98a0a09ab59df
ee53eea8a776b935b97469c19f4d5bd10e67e2e9,CycloneDX-JSON,Gemnasium,17,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\ee53eea8a776b935b97469c19f4d5bd10e67e2e9
3a73b1be26cf6cd6ab2ea04c0b21ca27a5de6742,CycloneDX-JSON,Github Extractor,7,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\3\3a73b1be26cf6cd6ab2ea04c0b21ca27a5de6742
480ef6c5331bb6968391bffe623edf620cd8de7c,CycloneDX-JSON,cdxgen,26,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\480ef6c5331bb6968391bffe623edf620cd8de7c
7eb8e1f9a07a435c18239ea5f08a5b5db4e947e8,CycloneDX-JSON,Node.js module,293,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\7\7eb8e1f9a07a435c18239ea5f08a5b5db4e947e8
