filename,format,tool,n_components,B1_result,B1_score,B1_detail,B2_result,B2_score,B2_detail,B3_result,B3_score,B3_detail,B4_result,B4_score,B4_detail
50c8807f4df4bf76b47d6c44a238600ecf3f2073,CycloneDX-JSON,Node.js module,187,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
50d33179d5e033e59a8f23003af19d2547528383,SPDX-JSON,syft,225,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 20 unknown (of 20 checked)",PASS,1.0,15/15 PURLs resolved successfully,PASS,1.0,60/60 license IDs are valid SPDX
50ec5fef577267615c23ddb94be119ee38f9819a,CycloneDX-JSON,cdxgen,46,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
50fd1bc7335887211df736df076a6b7ed1b158aa,CycloneDX-JSON,Node.js module,71,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
511090d214c2b9884e738c3ba2c29bcf5e2fbd0c,CycloneDX-JSON,cyclonedx-php-composer,35,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.967,29/30 license IDs are valid SPDX; invalid examples: BSD
511cefe9c159551b7f5e066283fa954f104d72db,CycloneDX-JSON,cdxgen,11,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 3 EOL, 8 unknown (of 11 checked)",PASS,1.0,11/11 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
512544a7729eb03faf5d17ec3f822ad0153cc66e,CycloneDX-JSON,cdxgen,21,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
5132701ed5f745b67dd5eb06e232591446b690df,CycloneDX-JSON,Node.js module,8,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/8 PURLs resolved successfully,PARTIAL,0.875,7/8 license IDs are valid SPDX; invalid examples: BSD
5135a844d0cfdf317028bf6aee116ba71862f0f9,CycloneDX-JSON,cyclonedx-gomod,62,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
513828a6232ead99ff2a47e68e1e09c03e8d969e,CycloneDX-JSON,cyclonedx-php-composer,2930,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
514f5ae3d38295d9c6f463a0fc1632eb2cf63574,CycloneDX-JSON,cyclonedx-gomod,139,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
5169de27001a9f0a6d975decda002eed89a3e49a,CycloneDX-JSON,Node.js module,1271,SKIP,0.0,No vulnerabilities declared — A8 failed,PARTIAL,0.5,"1 supported, 1 EOL, 28 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.6,"18/30 license IDs are valid SPDX; invalid examples: MIT License, Python MIT style"
5169e3cee6fd741c6fdd151dd457d3c7df8e0952,CycloneDX-JSON,cdxgen,29,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 27 unknown (of 29 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
516ab3113fdb5c7735355cc14353420c2d0089de,CycloneDX-JSON,cdxgen,26,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 4 EOL, 22 unknown (of 26 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
